Overseas Plants,Jan.,Feb.,Mar.,Apr.,May.,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total
 Xcent (AI3 4DR),5388,,,,,,,,,,,,5388
 Grand i10 (AI3 5DR),5311,,,,,,,,,,,,5311
 i20 (BI3 5DR),4741,,,,,,,,,,,,4741
 Verna (Hci),,,,,,,,,,,,,
 Verna (BN7i),1477,,,,,,,,,,,,1477
Exter (AI3 SUV),6068,,,,,,,,,,,,6068
 Venue (QXi),11106,,,,,,,,,,,,11106
 Creta (SU2i),16787,,,,,,,,,,,,16787
 Creta (SU2i EV),1735,,,,,,,,,,,,1735
 Creta (SU2i LWB),1310,,,,,,,,,,,,1310
 Kona EV (OSi EV),,,,,,,,,,,,,
 IONIQ5 (NEi),16,,,,,,,,,,,,16
 Tucson (NX4i),64,,,,,,,,,,,,64
 Xcent (AI3 4DR),2776,,,,,,,,,,,,2776
 Grand i10 (AI3 5DR),2846,,,,,,,,,,,,2846
 i20 (BI3 5DR),157,,,,,,,,,,,,157
 Verna (Hci),,,,,,,,,,,,,
 Verna (BN7i),4435,,,,,,,,,,,,4435
 Exter(AI3 SUV),54,,,,,,,,,,,,54
 Venue(QXi),381,,,,,,,,,,,,381
 Creta(SU2i),261,,,,,,,,,,,,261
 Creta(SU2i LWB),690,,,,,,,,,,,,690
i10 (AC3),83,,,,,,,,,,,,83
i20 (BC3),1690,,,,,,,,,,,,1690
Bayon (BC3 CUV),1588,,,,,,,,,,,,1588
i20 N (BC3 N),,,,,,,,,,,,,
i10 (AC3),6502,,,,,,,,,,,,6502
i20 (BC3),9444,,,,,,,,,,,,9444
Bayon (BC3 CUV),1712,,,,,,,,,,,,1712
i20 N (BC3 N),242,,,,,,,,,,,,242
 Elantra (CN7c),5390,,,,,,,,,,,,5390
 Sonata (DN8c),1207,,,,,,,,,,,,1207
 Custo (KU),864,,,,,,,,,,,,864
 Mufasa (NU2),1922,,,,,,,,,,,,1922
 La festa (SQ),1,,,,,,,,,,,,1
 Verna (YC),,,,,,,,,,,,,
 Celesta (ID),,,,,,,,,,,,,
 Mistra (DU2),,,,,,,,,,,,,
 Tucson (NX4c),1485,,,,,,,,,,,,1485
 Tucson HEV (NX4c HEV),,,,,,,,,,,,,
 ix35 (NU),,,,,,,,,,,,,
 Santa Fe (MX5c),151,,,,,,,,,,,,151
 Santa Fe (TMc),1,,,,,,,,,,,,1
 Elantra (CN7c),3524,,,,,,,,,,,,3524
 Custo (KU),144,,,,,,,,,,,,144
 Mufasa (NU2),120,,,,,,,,,,,,120
 Santa Fe (MX5c),1,,,,,,,,,,,,1
 Tucson (NX4c),,,,,,,,,,,,,
 Sonata (DN8c),2000,,,,,,,,,,,,2000
Sub-total,5789,,,,,,,,,,,,5789
Elantra (CN7a),,,,,,,,,,,,,
Sonata (DN8a),,,,,,,,,,,,,
Tucson (NX4a),8303,,,,,,,,,,,,8303
Tucson OB (NX4a OB),1720,,,,,,,,,,,,1720
Santa-Fe (TMa),,,,,,,,,,,,,
Santa-Fe HEV (TMa HEV),,,,,,,,,,,,,
Santa-Fe (MX5a),6052,,,,,,,,,,,,
Santa-Fe (MX5a HEV),2325,,,,,,,,,,,,
GV70 (JKa),1930,,,,,,,,,,,,1930
GV70 EV (Jka EV),227,,,,,,,,,,,,227
Elantra(CN7a),,,,,,,,,,,,,
Sonata (DN8a),,,,,,,,,,,,,
Tucson (NX4a),1500,,,,,,,,,,,,1500
Tucson OB (NX4a OB),395,,,,,,,,,,,,395
Santa-Fe (TMa),,,,,,,,,,,,,
Santa-Fe (MX5a),797,,,,,,,,,,,,
Santa-Fe (MX5a HEV),,,,,,,,,,,,,
GV70 (JKa),,,,,,,,,,,,,
GV70 EV (Jka EV),2,,,,,,,,,,,,2
Sub-total,2694,,,,,,,,,,,,2694
Ioniq5 (NEa),1623,,,,,,,,,,,,1623
Ioniq5 (NEa),,,,,,,,,,,,,
Sub-total,,,,,,,,,,,,,
 i30 (PDe),2621,,,,,,,,,,,,2621
 i30 (Pde N),155,,,,,,,,,,,,155
 Kona EV (OSe EV),,,,,,,,,,,,,
 Kona EV (SX2e EV),2722,,,,,,,,,,,,2722
 Tucson (TLe),,,,,,,,,,,,,
 Tucson (NX4e),9552,,,,,,,,,,,,9552
 Tucson HEV (NX4e HEV),5765,,,,,,,,,,,,5765
 Tucson PHEV (NX4e PHEV),1878,,,,,,,,,,,,1878
HB20 (BR2),5104,,,,,,,,,,,,5104
Creta (GSb),,,,,,,,,,,,,
Creta (SU2b),4712,,,,,,,,,,,,4712
HB20 (BR2),877,,,,,,,,,,,,877
Creta (GSb),,,,,,,,,,,,,
Creta (SU2b),,,,,,,,,,,,,
Stargazer (KS),201,,,,,,,,,,,,201
Kona EV (SX2id EV) ,61,,,,,,,,,,,,61
IONIQ5 (NEid),,,,,,,,,,,,,
IONIQ5 (NEid N),10,,,,,,,,,,,,10
Santa-Fe (TMid),,,,,,,,,,,,,
Santa-Fe (MX5id),73,,,,,,,,,,,,73
Santa-Fe (MX5id HEV),121,,,,,,,,,,,,121
Creta (SU2id),634,,,,,,,,,,,,634
Stargazer (KS),525,,,,,,,,,,,,525
Kona EV (SX2id EV) ,,,,,,,,,,,,,
IONIQ5 (NEid),,,,,,,,,,,,,
IONIQ5 (NEid N),,,,,,,,,,,,,
Santa-Fe (TMid),,,,,,,,,,,,,
Santa-Fe (MX5id),,,,,,,,,,,,,
Santa-Fe (MX5id HEV),,,,,,,,,,,,,
Creta (SU2id),2423,,,,,,,,,,,,2423
NX4m,,,,,,,,,,,,,
HCm,,,,,,,,,,,,,
NX4m,2000,,,,,,,,,,,,2000
HCm,,,,,,,,,,,,,
Others,,,,,,,,,,,,,
i10(AI3v 4DR),91,,,,,,,,,,,,91
i10(AI3v 5DR),275,,,,,,,,,,,,275
Accent (HCv),,,,,,,,,,,,,
Accent (BN7v),800,,,,,,,,,,,,800
Elantra (CN7v),119,,,,,,,,,,,,119
Venue (QXv),299,,,,,,,,,,,,299
Creta (SU2v),812,,,,,,,,,,,,812
Tucson (NX4v),673,,,,,,,,,,,,673
Santa Fe (TMv),,,,,,,,,,,,,
Santa Fe HEV (TMv HEV),,,,,,,,,,,,,
Palisade (LX2v),88,,,,,,,,,,,,88
Kusto (KUv),187,,,,,,,,,,,,187
IONIQ5 (NEv),,,,,,,,,,,,,
Porter (HRv),395,,,,,,,,,,,,395
Mighty (LTv),129,,,,,,,,,,,,129
Mighty (VTv),120,,,,,,,,,,,,120
County (CSv),66,,,,,,,,,,,,66
Solati (Euv),257,,,,,,,,,,,,257
Santa Fe (MX5v),731,,,,,,,,,,,,731
Santa Fe (MX5v),1,,,,,,,,,,,,1
Palisade (LX2v),78,,,,,,,,,,,,78
Solati (Euv),24,,,,,,,,,,,,24
IONIQ5 (NE),4,,,,,,,,,,,,4
IONIQ6 (CE),9,,,,,,,,,,,,9
IONIQ5 (NE),,,,,,,,,,,,,
IONIQ5 Robotaxi (NE R),,,,,,,,,,,,,
PV,4587,,,,,,,,,,,,4587
CV,,,,,,,,,,,,,
