Region,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
U.S.A.,33157,44040,44161,43894,51132,47682,46768,46840,49241,57589,58435,58183,581122
Canada,9824,11958,11464,10792,10478,11495,8383,6155,6143,9776,10729,11805,119002
Mexico,8,82,57,45,69,31,202,216,75,130,200,112,1227
Europe Subsidiaries,8949,14775,12550,11058,12274,13248,8080,5970,6476,6753,7476,6762,114371
Europe Distributors,2127,1526,2525,3539,2940,2913,3767,3675,3059,3625,2046,2875,34617
Turkey,389,854,653,913,1096,1096,1421,870,870,1110,1102,805,11179
Latin America,3896,5092,4954,5758,4294,5538,4700,4796,4068,5022,3691,4547,56356
Russia/CIS,2146,2220,1945,2991,2672,2541,2157,2498,1734,2211,2063,1916,27094
Middle East/Africa,10427,10128,12760,11043,9118,8908,9410,8890,5963,8258,6651,8346,109902
Asia/Pacific,11288,7295,8997,10570,10678,10496,10563,9940,4984,10793,7556,7712,110872
