Overseas Plants,Jan.,Feb.,Mar.,Apr.,May.,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total
 ix35 (NU2),,,,,"1,905","4,452","2,909","3,660","3,870","3,333","3,632","4,855","28,616"
 Santa Fe (TMc),71,156,366,488,237,190,215,109,264,125,79,108,"2,408"
 Custo (KU),,,,3,,,,171,60,8,63,140,445
Elantra (CN7a),"1,781","2,218","3,005","2,983","3,021",215,6,,,,,,"13,229"
Sonata (DN8a),,,,,,,,,,,,,
Tucson (NX4a),"10,069","12,699","15,337","11,864","13,972","12,618","9,827","15,138","13,343","13,335","11,206","11,472","150,880"
Tucson OB (NX4a OB),"3,165","3,296","3,603","3,509","3,499","2,844","3,317","4,286","3,824","2,830","3,121","3,099","40,393"
Santa-Fe (TMa),"7,274","9,749","9,443","8,684","8,422","10,459","7,368","10,858","9,078","9,986","8,317","9,263","108,901"
Santa-Fe HEV (TMa HEV),"1,417","1,631","1,722","1,628","1,607","1,949","1,320","1,825","1,984","1,958","1,495","2,285","20,821"
GV70 (JKa),,,,,,,"1,120","1,587","1,477","3,119","2,565",840,"10,708"
GV70 EV (Jka EV),,24,184,295,180,87,154,465,158,539,338,213,"2,637"
Elantra(CN7a),120,90,165,240,135,15,,,,,,,765
Sonata (DN8a),,,,,,,,,,,,,
Tucson (NX4a),,,,,,,,,,,,,
Tucson OB (NX4a OB),463,388,447,371,420,395,287,478,425,358,214,664,"4,910"
Santa-Fe (TMa),832,832,"1,220",781,861,"1,040",785,"1,094",908,808,821,573,"10,555"
GV70 (JKa),,,,,,,20,,13,21,16,19,89
GV70 EV (Jka EV),,,2,6,,,5,1,3,3,3,3,26
 i30 (PDe),"3,512","3,678","4,719","3,340","3,720","4,140","2,837","3,795","4,006","4,218","4,008","2,689","44,662"
 i30 (Pde N),517,426,501,735,602,676,661,566,621,586,481,723,"7,095"
 Kona EV (OSe EV),"3,349","3,531","4,488","3,473","3,701","3,698","2,033",230,,,,,"24,503"
 Kona EV (SX2e EV),,,6,,1,2,5,"2,923","4,428","4,934","4,596","2,264","19,159"
 Tucson (TLe),,,,,,,,,,,,,
 Tucson (NX4e),"11,607","12,684","14,305","11,029","14,152","14,160","9,268","11,842","12,878","14,087","12,969","10,415","149,396"
 Tucson HEV (NX4e HEV),"4,039","6,020","6,678","5,531","5,848","6,314","4,126","5,386","6,301","5,972","6,412","4,635","67,262"
 Tucson PHEV (NX4e PHEV),"1,570","2,911","3,296","2,272","2,531","2,914","1,779","2,059","2,415","2,503","2,356","1,319","27,925"
Sub-total,"24,594","29,250","33,993","26,380","30,555","31,904","20,709","26,801","30,649","32,300","30,822","22,045","340,002"
Solaris (HCr),,,,,,,,,,,,,
Creta (SU2r),,,,,,,,,,,,,
Kia Rio(FB),,,,,,,,,,,,,
Solaris (HCr),,,,,,,,,,,,,
Creta (SU2r),,,,,,,,,,,,,
Kia Rio(FB),,,,,,,,,,,,,
HB20 (BR2),"4,221","6,910","10,531","6,754","4,688","13,613","12,304","12,993","13,221","11,993","11,655","11,547","120,430"
Creta (GSb),"1,019",973,"1,387",904,246,493,"1,042",999,894,430,"3,124","1,104","12,615"
Creta (SU2b),"3,886","3,634","4,174","3,692","4,371","3,397","4,962","4,876","3,828","5,451","4,417","5,663","52,351"
HB20 (BR2),"1,702","1,073","2,806","2,145",837,"1,748","1,984","1,222","1,471",839,"1,661",992,"18,480"
Creta (GSb),33,,33,66,12,54,33,,48,2,6,,287
Creta (SU2b),76,188,108,96,104,80,76,189,130,38,132,72,"1,289"
Sub-total,"1,811","1,261","2,947","2,307",953,"1,882","2,093","1,411","1,649",879,"1,799","1,064","20,056"
Stargazer (KS),994,"2,009","1,772",574,"1,005",513,689,"1,684","1,473","1,751",812,877,"14,153"
IONIQ5 (NE),242,201,649,950,974,"1,023",499,431,675,638,527,542,"7,351"
Santa-Fe (TMid),154,110,27,128,86,65,77,44,86,20,15,52,864
Creta (SU2id),610,680,"1,052",429,999,559,262,212,72,493,630,447,"6,445"
Stargazer (KS),,115,541,455,540,"1,054",619,654,"1,214","1,119","1,141",924,"8,376"
IONIQ5 (NE),,,,,,,,,,,,,
Santa-Fe (TMid),,,,,,,,,,,,,
Creta (SU2id),"4,084","3,502","3,079","2,623","4,045","4,888","4,569","4,750","3,530","2,733","4,851","3,408","46,062"
Others,,,,,,,,,,,,,
CV,,,,,,,,,,,,,
i10(AI3v 4DR),198,51,74,30,179,,134,99,92,90,91,72,"1,110"
i10(AI3v 5DR),361,653,640,562,150,428,447,393,471,409,588,628,"5,730"
Accent (HCv),891,"1,571","1,670",933,"1,525",785,981,"1,338","1,335","1,746","1,737","1,062","15,574"
Elantra (ADv),,,,,,,,,,,,,
Elantra (CN7v),57,147,297,290,332,53,172,222,157,211,175,45,"2,158"
Kona (OSv),,,,,,,,,,,,295,295
Creta (SU2v),,,,,567,"1,148",654,464,230,724,803,454,"5,044"
Tucson (TLv),,,,,,,,,,,,,
Tucson (NX4v),296,763,954,470,675,32,109,40,88,610,616,391,"5,044"
Santa Fe (TMv),"1,058",528,413,259,295,22,222,419,330,520,451,179,"4,696"
Santa Fe HEV (TMv HEV),,,,,,,,63,11,7,12,10,103
Palisade (LX2v),,,,,,,,,30,147,139,245,561
Kusto (KUv),,,,,,,,,163,368,604,666,"1,801"
IONIQ5 (NEv),,,,,,,,28,30,,1,1,60
Porter (HRv),360,90,450,346,208,191,406,213,286,264,186,60,"3,060"
Mighty (LTv),80,130,209,121,60,60,60,90,90,121,120,31,"1,172"
Mighty (VTv),240,300,120,,150,149,88,118,247,85,32,150,"1,679"
Mighty (QTv),90,,30,,,,,,,29,,,149
Mighty (QTc),59,1,60,,,,,,,,,,120
Truck,79,192,219,192,147,180,221,182,243,189,275,274,"2,393"
IONIQ5 (NE),,,,,,33,58,65,73,49,62,114,454
IONIQ5 (NE),,,,,,,,6,3,2,9,3,23
PV,"3,246","3,261","3,706","3,377","4,514","4,581","4,927","4,441","4,053","4,572","4,404","3,461","48,543"
CV,90,86,84,73,70,118,41,51,73,26,60,50,822
