Overseas Plants,Jan.,Feb.,Mar.,Apr.,May.,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total
 Santro (AH2),,,,,,,,,,,,,
 Xcent (BA 4DR),,,,,,,,,,,,,
 Aura (AI3 4DR),"4,634","5,524","3,774","5,085","4,707","4,907","4,514","4,892","3,900","4,096","3,850","3,812","53,695"
 NIOS (AI3 5DR),"8,760","9,635","9,304","6,839","6,385","6,321","5,337","7,306","5,223","6,552","4,708","5,247","81,617"
 i20 (BI3 5DR),"8,185","9,287","6,596","6,472","6,094","6,162","5,001","4,896","6,481","7,212","5,727","4,574","76,687"
 Verna (Hci),995,47,,,,,,,,,,,"1,042"
 Verna (BN7i),,,"3,755","4,001","3,687","4,001","2,858","2,576","2,610","2,313","1,701",712,"28,214"
Exter (AI3 SUV),,,,,,,"7,000","7,430","8,647","8,097","8,325","7,514","47,013"
 Venue (QXi),"10,738","9,997","10,024","10,342","10,213","11,606","10,062","10,948","12,204","11,581","11,180","10,383","129,278"
 Creta (SU2i),"15,037","10,421","14,026","14,186","14,449","14,447","14,062","13,832","12,717","13,077","11,814","9,243","157,311"
 Creta (SU2i LWB),"1,537","1,559","2,519","2,037","2,443","2,119","1,443","1,493","1,977","1,837","1,913",954,"21,831"
 Kona EV (OSi EV),40,,,,84,75,60,91,69,44,19,19,501
IONIQ5 (NEi),,33,21,189,160,100,125,130,176,117,96,81,"1,228"
 Tucson (TLi),,,,,,,,,,,,,
 Tucson (NX4i),180,498,581,550,379,263,239,236,237,202,118,209,"3,692"
 Santro (AH2),,,,,,,,,,,,,
Xcent(BA 4DR),,,,,,,,,,,,,
Xcent(BA 5DR),,,,,,,,,,,,,
 Aura (AI3 4DR),"1,099",727,"2,311","1,149","1,039","2,703","2,963","3,023","4,124","3,526","3,083","2,955","28,702"
 NIOS (AI3 5DR),"1,727","2,425","1,447",798,"2,307","3,515","4,448","4,421","3,803","3,474","3,946","3,333","35,644"
 i20 (BI3 5DR),"1,117",427,276,286,410,851,856,"1,169",675,880,39,83,"7,069"
 Verna (Hci),"3,509","2,243","3,291","3,973","5,198","3,149",8,,,,,,"21,371"
 Verna (BN7i),,,,,1,"2,485","5,100","5,403","5,482","3,663","6,977","5,886","34,997"
 Exter(AI3 SUV),,,,,,,,1,,,,,1
 Venue(QXi),"1,249","1,021",498,"1,006","1,025","1,511","1,176","1,912","1,812","1,096",671,397,"13,374"
 Creta(SU2i),"2,236","3,101","1,902",513,329,193,616,435,427,205,358,200,"10,515"
 Creta(SU2i LWB),"1,233",906,"1,175",775,691,"1,193",833,"1,241","1,077",756,"1,276",846,"12,002"
i10 (AC3),70,63,71,,,210,302,60,69,51,238,359,"1,493"
i20 (BC3),"2,422","2,004","2,243","1,756","1,679","1,276",983,347,"2,334","1,586","2,681","1,915","21,226"
Bayon (BC3 CUV),985,"1,257","1,257",985,"1,701","1,701","2,164","1,743",947,"1,287","1,726","1,776","17,529"
i20 N (BC3 N),21,19,20,30,15,26,32,33,49,20,10,60,335
i10 (AC3),"7,009","4,737","6,268","6,413","6,465","4,543","5,663","4,025","6,668","5,914","5,918","4,990","68,613"
i20 (BC3),"7,252","7,530","7,921","5,786","8,105","6,318","7,607","3,314","5,089","5,832","6,785","7,238","78,777"
Bayon (BC3 CUV),"5,240","3,608","3,981","3,375","3,458","2,817","4,051","2,405","6,193","5,595","4,312","4,754","49,789"
i20 N (BC3 N),525,435,710,486,442,626,876,771,770,659,885,836,"8,021"
 Reina (CB),,,,,,,,,,,,,
 Verna (YC),,,,,,,,,,,,1,1
 Celesta (ID),764,"1,116","1,560",165,,,,,,,,2,"3,607"
 Elantra (CN7c),"5,212","6,891","12,425","7,340","9,612","10,598","5,098","9,823","10,566","9,526","11,775","14,579","113,445"
 La festa (SQ),398,614,519,159,124,396,48,71,101,67,34,23,"2,554"
 La festa EV (SQ EV),,,,,,,,,,,,,
 Mistra (DU2),8,1,1,2,2,1,,20,,,,1,36
 Mistra EV (DU2 EV),,,,,,,,,,,,,
 Sonata (DN8c),165,224,212,170,293,298,145,306,188,144,155,174,"2,474"
 Custo (KU),447,463,788,"1,348","1,121","1,279","1,342","1,421","1,642","1,156",680,"1,095","12,782"
 ix25 (SU2),,,,,,,,,,,,,
 Tucson (NX4c),"3,874","3,404","6,019","3,372","5,417","6,099","2,759","4,588","5,699","4,468","5,241","7,540","58,480"
 Tucson HEV (NX4c HEV),58,11,8,7,7,3,1,10,3,,2,1,111
 ix35 (NU),"4,031","4,123","5,115","2,952",544,702,13,-1,1,,,6,"17,486"
