Region,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
U.S.A.,41454,,,,,,,,,,,,41454
Canada,10472,,,,,,,,,,,,10472
Mexico,29,,,,,,,,,,,,29
Europe Subsidiaries,8298,,,,,,,,,,,,8298
Europe Distributors,4017,,,,,,,,,,,,4017
Turkey,197,,,,,,,,,,,,197
GME,46,,,,,,,,,,,,46
Latin America,4157,,,,,,,,,,,,4157
Russia/CIS,2828,,,,,,,,,,,,2828
Middle East/Africa,7909,,,,,,,,,,,,7909
Asia/Pacific,6294,,,,,,,,,,,,6294
