Overseas Plants,Jan.,Feb.,Mar.,Apr.,May.,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total
Creta (SU2b),32,184,72,268,171,106,209,,345,285,172,179,2023
Stargazer (KS),1615,1964,1063,755,589,1223,600,782,618,715,722,1039,11685
Kona EV (SX2id EV) ,,,,,,,304,165,170,176,434,124,1373
IONIQ5 (NE),752,236,28,27,11,76,62,92,27,44,77,978,2410
IONIQ5 (NEid N),,,,,,,,,,28,10,33,71
Santa-Fe (TMid),116,23,22,37,27,82,36,42,9,17,31,145,587
Santa-Fe (MX5id),,,,,,,,,,13,3,3,19
Santa-Fe (MX5id HEV),,,,,,,,,,177,115,171,463
Creta (SU2id),1013,877,584,220,193,429,346,449,393,323,108,1066,6001
Stargazer (KS),492,1318,1688,1363,1986,1529,2285,2230,2065,1151,1012,654,17773
Kona EV (SX2id EV) ,,,,,,,,,,1,,,1
IONIQ5 (NE),,,,,,,,,,,,,
IONIQ5 (NEid N),,,,,,,,,,,,,
Santa-Fe (TMid),,,,,,,,,,,,,
Santa-Fe (MX5id),,,,,,,,,,,,,
Santa-Fe (MX5id HEV),,,,,,,,,,,,,
Creta (SU2id),3012,3147,4183,2232,3459,4399,4076,4458,5205,2989,3328,4181,44669
NX4m,,,,,,,,,,,,,
HCm,,,,,,,,,,,,,
NX4m,,,,,,809,2378,2821,2637,3048,2700,2097,16490
HCm,,,,,,,,,,,,,
Others,,,,,,,,,,,,,
CV,,,,,,,,,,,,,
Sub-total,,,,,,,,,,,,,
i10(AI3v 4DR),30,120,118,2,,142,32,45,60,50,3,30,632
i10(AI3v 5DR),387,359,301,28,5,270,490,621,560,907,389,301,4618
Accent (HCv),896,775,1178,357,4,,,,,,,,3210
Accent (BN7v),,,,,623,828,1557,1551,1539,1592,1220,615,9525
Elantra (CN7v),151,90,87,130,255,223,123,41,227,115,66,65,1573
Venue (QXv),60,4,316,508,698,189,62,40,360,350,290,287,3164
Creta (SU2v),388,316,821,570,660,563,684,694,663,958,988,444,7749
